127.0.0.1 - - [19/Sep/2020:16:48:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:48:54 +0900] "GET /posting_page/main.jsp HTTP/1.1" 200 6128
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:48:54 +0900] "GET /posting_page/assets/js/jquery.scrollex.min.js HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:48:54 +0900] "GET /posting_page/assets/js/jquery.scrolly.min.js HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:48:54 +0900] "GET /posting_page/images/logo.svg HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:48:54 +0900] "GET /posting_page/assets/js/browser.min.js HTTP/1.1" 200 1851
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:48:54 +0900] "GET /posting_page/assets/js/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:48:54 +0900] "GET /posting_page/assets/css/main.css HTTP/1.1" 200 63930
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:48:54 +0900] "GET /posting_page/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:48:54 +0900] "GET /posting_page/assets/js/breakpoints.min.js HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:48:54 +0900] "GET /posting_page/images/app_logo.png HTTP/1.1" 200 7533
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:48:54 +0900] "GET /posting_page/assets/js/main.js HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:48:54 +0900] "GET /posting_page/assets/css/fontawesome-all.min.css HTTP/1.1" 200 55967
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:48:55 +0900] "GET /posting_page/assets/css/images/overlay.png HTTP/1.1" 200 20100
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:48:55 +0900] "GET /posting_page/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 74508
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:48:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:49:00 +0900] "GET /shinhan_campusmap/member/login.html HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [19/Sep/2020:16:49:15 +0900] "GET /shinhan_campusmap/member/login.html HTTP/1.1" 404 850
